mr,mrLabel,country,countryLabel,coord,highPoint,highPointLabel,elevation,length,partOf,partOfLabel
http://www.wikidata.org/entity/Q10878777,Jiugong Mountains,http://www.wikidata.org/entity/Q148,Китай,Point(114.613 29.375),,,1552,,,
http://www.wikidata.org/entity/Q10878777,Jiugong Mountains,http://www.wikidata.org/entity/Q148,Китай,Point(114.613 29.375),,,1656,,,
http://www.wikidata.org/entity/Q1088187,Поляна,http://www.wikidata.org/entity/Q214,Словакия,Point(19.46666667 48.63333333),http://www.wikidata.org/entity/Q326494,Poľana,1457.8,,,
http://www.wikidata.org/entity/Q1088296,Сила,http://www.wikidata.org/entity/Q38,Италия,Point(16.5 39.366667),http://www.wikidata.org/entity/Q3861251,Ботте-Донато,1928,,,
http://www.wikidata.org/entity/Q10885309,Funiu Mountains,http://www.wikidata.org/entity/Q148,Китай,Point(111.78668611 33.66261667),,,,,,
http://www.wikidata.org/entity/Q10885309,Funiu Mountains,http://www.wikidata.org/entity/Q148,Китай,Point(112.3 33.7),,,,,,
http://www.wikidata.org/entity/Q10885677,Baxoi La,http://www.wikidata.org/entity/Q148,Китай,Point(98.059803055 28.8233),,,,,,
http://www.wikidata.org/entity/Q108882377,Верхнеангарский хребет,http://www.wikidata.org/entity/Q159,Россия,Point(111.5 56.33333333),,,2488,,,
http://www.wikidata.org/entity/Q108882377,Верхнеангарский хребет,http://www.wikidata.org/entity/Q159,Россия,Point(111.646666666 56.356388888),,,2488,,,
http://www.wikidata.org/entity/Q108882377,Верхнеангарский хребет,http://www.wikidata.org/entity/Q159,Россия,Point(111.648055555 56.357222222),,,2488,,,
http://www.wikidata.org/entity/Q1088931,Taburnus,http://www.wikidata.org/entity/Q38,Италия,Point(14.608333333 41.108333333),http://www.wikidata.org/entity/Q31612815,Monte Taburno,1393,,,
http://www.wikidata.org/entity/Q1088937,Сьерра-де-Гата,http://www.wikidata.org/entity/Q29,Испания,Point(-6.75 40.23333333),http://www.wikidata.org/entity/Q5957272,Jálama,1592,,,
http://www.wikidata.org/entity/Q108914422,Q108914422,http://www.wikidata.org/entity/Q36,Польша,Point(18.97296 49.41784),http://www.wikidata.org/entity/Q571753,Wielka Racza,,,http://www.wikidata.org/entity/Q5060447,Центральные Бескиды
http://www.wikidata.org/entity/Q108914422,Q108914422,http://www.wikidata.org/entity/Q214,Словакия,Point(18.97296 49.41784),http://www.wikidata.org/entity/Q571753,Wielka Racza,,,http://www.wikidata.org/entity/Q5060447,Центральные Бескиды
http://www.wikidata.org/entity/Q108914422,Q108914422,http://www.wikidata.org/entity/Q36,Польша,Point(18.97296 49.41784),http://www.wikidata.org/entity/Q571753,Wielka Racza,,,http://www.wikidata.org/entity/Q7987628,Западные Бескиды
http://www.wikidata.org/entity/Q108914422,Q108914422,http://www.wikidata.org/entity/Q214,Словакия,Point(18.97296 49.41784),http://www.wikidata.org/entity/Q571753,Wielka Racza,,,http://www.wikidata.org/entity/Q7987628,Западные Бескиды
http://www.wikidata.org/entity/Q1089367,Чугачские горы,http://www.wikidata.org/entity/Q30,США,Point(-145.33333 61.16667),http://www.wikidata.org/entity/Q829432,Маркус-Бейкер,13094,500,,
http://www.wikidata.org/entity/Q1089367,Чугачские горы,http://www.wikidata.org/entity/Q30,США,Point(-145.33 61.17),http://www.wikidata.org/entity/Q829432,Маркус-Бейкер,13094,500,,
http://www.wikidata.org/entity/Q1089481,Уолкберг,http://www.wikidata.org/entity/Q258,ЮАР,Point(30.065 -24.065),,,2126,30,,
http://www.wikidata.org/entity/Q1089627,Chuosberge,http://www.wikidata.org/entity/Q1030,Намибия,Point(15.41667 -22.33333),,,1138,,,
